method,circuits,factor,source
B2,1,1.00,"IEC 60364-5-52:2009 Table B.52.17, item 1, bunched in air, on a surface, embedded or enclosed, values as reproduced in IS 732:2019 Table 36"
B2,2,0.80,"IEC 60364-5-52:2009 Table B.52.17, item 1, bunched in air, on a surface, embedded or enclosed, values as reproduced in IS 732:2019 Table 36"
B2,3,0.70,"IEC 60364-5-52:2009 Table B.52.17, item 1, bunched in air, on a surface, embedded or enclosed, values as reproduced in IS 732:2019 Table 36"
B2,4,0.65,"IEC 60364-5-52:2009 Table B.52.17, item 1, bunched in air, on a surface, embedded or enclosed, values as reproduced in IS 732:2019 Table 36"
B2,5,0.60,"IEC 60364-5-52:2009 Table B.52.17, item 1, bunched in air, on a surface, embedded or enclosed, values as reproduced in IS 732:2019 Table 36"
B2,6,0.57,"IEC 60364-5-52:2009 Table B.52.17, item 1, bunched in air, on a surface, embedded or enclosed, values as reproduced in IS 732:2019 Table 36"
B2,7,0.54,"IEC 60364-5-52:2009 Table B.52.17, item 1, bunched in air, on a surface, embedded or enclosed, values as reproduced in IS 732:2019 Table 36"
B2,8,0.52,"IEC 60364-5-52:2009 Table B.52.17, item 1, bunched in air, on a surface, embedded or enclosed, values as reproduced in IS 732:2019 Table 36"
B2,9,0.50,"IEC 60364-5-52:2009 Table B.52.17, item 1, bunched in air, on a surface, embedded or enclosed, values as reproduced in IS 732:2019 Table 36"
B2,12,0.45,"IEC 60364-5-52:2009 Table B.52.17, item 1, bunched in air, on a surface, embedded or enclosed, values as reproduced in IS 732:2019 Table 36"
B2,16,0.41,"IEC 60364-5-52:2009 Table B.52.17, item 1, bunched in air, on a surface, embedded or enclosed, values as reproduced in IS 732:2019 Table 36"
B2,20,0.38,"IEC 60364-5-52:2009 Table B.52.17, item 1, bunched in air, on a surface, embedded or enclosed, values as reproduced in IS 732:2019 Table 36"
C,1,1.00,"IEC 60364-5-52:2009 Table B.52.17, item 2, single layer on wall, floor or unperforated tray, values as reproduced in IS 732:2019 Table 36"
C,2,0.85,"IEC 60364-5-52:2009 Table B.52.17, item 2, single layer on wall, floor or unperforated tray, values as reproduced in IS 732:2019 Table 36"
C,3,0.79,"IEC 60364-5-52:2009 Table B.52.17, item 2, single layer on wall, floor or unperforated tray, values as reproduced in IS 732:2019 Table 36"
C,4,0.75,"IEC 60364-5-52:2009 Table B.52.17, item 2, single layer on wall, floor or unperforated tray, values as reproduced in IS 732:2019 Table 36"
C,5,0.73,"IEC 60364-5-52:2009 Table B.52.17, item 2, single layer on wall, floor or unperforated tray, values as reproduced in IS 732:2019 Table 36"
C,6,0.72,"IEC 60364-5-52:2009 Table B.52.17, item 2, single layer on wall, floor or unperforated tray, values as reproduced in IS 732:2019 Table 36"
C,7,0.72,"IEC 60364-5-52:2009 Table B.52.17, item 2, single layer on wall, floor or unperforated tray, values as reproduced in IS 732:2019 Table 36"
C,8,0.71,"IEC 60364-5-52:2009 Table B.52.17, item 2, single layer on wall, floor or unperforated tray, values as reproduced in IS 732:2019 Table 36"
C,9,0.70,"IEC 60364-5-52:2009 Table B.52.17, item 2, single layer on wall, floor or unperforated tray, values as reproduced in IS 732:2019 Table 36"
E,1,1.00,"IEC 60364-5-52:2009 Table B.52.17, item 4, single layer on perforated tray, values as reproduced in IS 732:2019 Table 36"
E,2,0.88,"IEC 60364-5-52:2009 Table B.52.17, item 4, single layer on perforated tray, values as reproduced in IS 732:2019 Table 36"
E,3,0.82,"IEC 60364-5-52:2009 Table B.52.17, item 4, single layer on perforated tray, values as reproduced in IS 732:2019 Table 36"
E,4,0.77,"IEC 60364-5-52:2009 Table B.52.17, item 4, single layer on perforated tray, values as reproduced in IS 732:2019 Table 36"
E,5,0.75,"IEC 60364-5-52:2009 Table B.52.17, item 4, single layer on perforated tray, values as reproduced in IS 732:2019 Table 36"
E,6,0.73,"IEC 60364-5-52:2009 Table B.52.17, item 4, single layer on perforated tray, values as reproduced in IS 732:2019 Table 36"
E,7,0.73,"IEC 60364-5-52:2009 Table B.52.17, item 4, single layer on perforated tray, values as reproduced in IS 732:2019 Table 36"
E,8,0.72,"IEC 60364-5-52:2009 Table B.52.17, item 4, single layer on perforated tray, values as reproduced in IS 732:2019 Table 36"
E,9,0.72,"IEC 60364-5-52:2009 Table B.52.17, item 4, single layer on perforated tray, values as reproduced in IS 732:2019 Table 36"
D2,1,1.00,"IS 732:2019 clause S-4.1: tabulated capacities relate to a single circuit, so one circuit takes no group reduction"
D2,2,0.75,"IEC 60364-5-52:2009 Table B.52.18, cables laid direct in the ground, nil clearance column, values as reproduced in IS 732:2019 Table 37"
D2,3,0.65,"IEC 60364-5-52:2009 Table B.52.18, cables laid direct in the ground, nil clearance column, values as reproduced in IS 732:2019 Table 37"
D2,4,0.60,"IEC 60364-5-52:2009 Table B.52.18, cables laid direct in the ground, nil clearance column, values as reproduced in IS 732:2019 Table 37"
D2,5,0.55,"IEC 60364-5-52:2009 Table B.52.18, cables laid direct in the ground, nil clearance column, values as reproduced in IS 732:2019 Table 37"
D2,6,0.50,"IEC 60364-5-52:2009 Table B.52.18, cables laid direct in the ground, nil clearance column, values as reproduced in IS 732:2019 Table 37"
D2,7,0.45,"IEC 60364-5-52:2009 Table B.52.18, cables laid direct in the ground, nil clearance column, values as reproduced in IS 732:2019 Table 37"
D2,8,0.43,"IEC 60364-5-52:2009 Table B.52.18, cables laid direct in the ground, nil clearance column, values as reproduced in IS 732:2019 Table 37"
D2,9,0.41,"IEC 60364-5-52:2009 Table B.52.18, cables laid direct in the ground, nil clearance column, values as reproduced in IS 732:2019 Table 37"
D2,12,0.36,"IEC 60364-5-52:2009 Table B.52.18, cables laid direct in the ground, nil clearance column, values as reproduced in IS 732:2019 Table 37"
D2,16,0.32,"IEC 60364-5-52:2009 Table B.52.18, cables laid direct in the ground, nil clearance column, values as reproduced in IS 732:2019 Table 37"
D2,20,0.29,"IEC 60364-5-52:2009 Table B.52.18, cables laid direct in the ground, nil clearance column, values as reproduced in IS 732:2019 Table 37"
D1,1,1.00,"IS 732:2019 clause S-4.1: tabulated capacities relate to a single circuit, so one circuit takes no group reduction"
D1,2,0.85,"IEC 60364-5-52:2009 Table B.52.19, A, multi-core cables in single-way ducts, nil clearance column, values as reproduced in IS 732:2019 Table 38"
D1,3,0.75,"IEC 60364-5-52:2009 Table B.52.19, A, multi-core cables in single-way ducts, nil clearance column, values as reproduced in IS 732:2019 Table 38"
D1,4,0.70,"IEC 60364-5-52:2009 Table B.52.19, A, multi-core cables in single-way ducts, nil clearance column, values as reproduced in IS 732:2019 Table 38"
D1,5,0.65,"IEC 60364-5-52:2009 Table B.52.19, A, multi-core cables in single-way ducts, nil clearance column, values as reproduced in IS 732:2019 Table 38"
D1,6,0.60,"IEC 60364-5-52:2009 Table B.52.19, A, multi-core cables in single-way ducts, nil clearance column, values as reproduced in IS 732:2019 Table 38"
D1,7,0.57,"IEC 60364-5-52:2009 Table B.52.19, A, multi-core cables in single-way ducts, nil clearance column, values as reproduced in IS 732:2019 Table 38"
D1,8,0.54,"IEC 60364-5-52:2009 Table B.52.19, A, multi-core cables in single-way ducts, nil clearance column, values as reproduced in IS 732:2019 Table 38"
D1,9,0.52,"IEC 60364-5-52:2009 Table B.52.19, A, multi-core cables in single-way ducts, nil clearance column, values as reproduced in IS 732:2019 Table 38"
D1,10,0.49,"IEC 60364-5-52:2009 Table B.52.19, A, multi-core cables in single-way ducts, nil clearance column, values as reproduced in IS 732:2019 Table 38"
D1,11,0.47,"IEC 60364-5-52:2009 Table B.52.19, A, multi-core cables in single-way ducts, nil clearance column, values as reproduced in IS 732:2019 Table 38"
D1,12,0.45,"IEC 60364-5-52:2009 Table B.52.19, A, multi-core cables in single-way ducts, nil clearance column, values as reproduced in IS 732:2019 Table 38"
D1,13,0.44,"IEC 60364-5-52:2009 Table B.52.19, A, multi-core cables in single-way ducts, nil clearance column, values as reproduced in IS 732:2019 Table 38"
D1,14,0.42,"IEC 60364-5-52:2009 Table B.52.19, A, multi-core cables in single-way ducts, nil clearance column, values as reproduced in IS 732:2019 Table 38"
D1,15,0.41,"IEC 60364-5-52:2009 Table B.52.19, A, multi-core cables in single-way ducts, nil clearance column, values as reproduced in IS 732:2019 Table 38"
D1,16,0.39,"IEC 60364-5-52:2009 Table B.52.19, A, multi-core cables in single-way ducts, nil clearance column, values as reproduced in IS 732:2019 Table 38"
D1,17,0.38,"IEC 60364-5-52:2009 Table B.52.19, A, multi-core cables in single-way ducts, nil clearance column, values as reproduced in IS 732:2019 Table 38"
D1,18,0.37,"IEC 60364-5-52:2009 Table B.52.19, A, multi-core cables in single-way ducts, nil clearance column, values as reproduced in IS 732:2019 Table 38"
D1,19,0.35,"IEC 60364-5-52:2009 Table B.52.19, A, multi-core cables in single-way ducts, nil clearance column, values as reproduced in IS 732:2019 Table 38"
D1,20,0.34,"IEC 60364-5-52:2009 Table B.52.19, A, multi-core cables in single-way ducts, nil clearance column, values as reproduced in IS 732:2019 Table 38"
